login;fio;fname;lname;initials;samaccname;cellphone;workphone;vntel;fax;email;department;jobtitle;addr;kab;company;ou;passwd
KovalevaVD;Ковалева Валерия Данииловна;Валерия;Ковалева;Д.;KovalevaVD;+7(495)072-46-04;+7(495)1230110;110;;KovalevaVD@altuninvv.local;Отдел 1;Начальник;Ленина 1;111;Altunin Soft;OU=otdel1,OU=Company,DC=altuninvv,DC=local;@9HIVQu-7Pftu&7r
KrjukovKS;Крюков Кирилл Сергеевич;Кирилл;Крюков;С.;KrjukovKS;+7(495)203-84-47;+7(495)1230111;111;;KrjukovKS@altuninvv.local;Отдел 1;Заместитель начальника;Ленина 1;112;Altunin Soft;OU=otdel1,OU=Company,DC=altuninvv,DC=local;f8B=QWNdZ0ZcZ5pI
CHerkasovSN;Черкасов Савелий Николаевич;Савелий;Черкасов;Н.;CHerkasovSN;+7(495)744-43-84;+7(495)1230112;112;;CHerkasovSN@altuninvv.local;Отдел 1;Специалист;Ленина 1;113;Altunin Soft;OU=otdel1,OU=Company,DC=altuninvv,DC=local;FlVEGEP+rtzWF%9u
FominPJA;Фомин Павел Ярославович;Павел;Фомин;Я.;FominPJA;+7(495)394-65-14;+7(495)1230113;113;;FominPJA@altuninvv.local;Отдел 1;Специалист;Ленина 1;114;Altunin Soft;OU=otdel1,OU=Company,DC=altuninvv,DC=local;$H96!+ATX-PYI:Rd
KuznecovSN;Кузнецов Степан Никитич;Степан;Кузнецов;Н.;KuznecovSN;+7(495)390-77-71;+7(495)1230114;114;;KuznecovSN@altuninvv.local;Отдел 1;Специалист;Ленина 1;115;Altunin Soft;OU=otdel1,OU=Company,DC=altuninvv,DC=local;SYO57C9Wy7qKvIet
PopovIM;Попов Иван Максимович;Иван;Попов;М.;PopovIM;+7(495)668-32-97;+7(495)1230115;115;;PopovIM@altuninvv.local;Отдел 1;Специалист;Ленина 1;116;Altunin Soft;OU=otdel1,OU=Company,DC=altuninvv,DC=local;V&7R8T9&p,0z$O@2
ParfenovJAA;Парфенов Ян Артёмович;Ян;Парфенов;А.;ParfenovJAA;+7(495)531-03-94;+7(495)1230116;116;;ParfenovJAA@altuninvv.local;Отдел 1;Специалист;Ленина 1;117;Altunin Soft;OU=otdel1,OU=Company,DC=altuninvv,DC=local;bcAc=mP.Yf+W9NOM
VolkovSR;Волков Степан Романович;Степан;Волков;Р.;VolkovSR;+7(495)330-41-82;+7(495)1230117;117;;VolkovSR@altuninvv.local;Отдел 1;Специалист;Ленина 1;118;Altunin Soft;OU=otdel1,OU=Company,DC=altuninvv,DC=local;@)+@QKZ)ol.wZAJW
MorozovIA;Морозов Иван Алексеевич;Иван;Морозов;А.;MorozovIA;+7(495)756-42-87;+7(495)1230118;118;;MorozovIA@altuninvv.local;Отдел 1;Специалист;Ленина 1;119;Altunin Soft;OU=otdel1,OU=Company,DC=altuninvv,DC=local;m=9Ltet.IMFsl~Vf
KozlovaAJU;Козлова Алина Юрьевна;Алина;Козлова;Ю.;KozlovaAJU;+7(495)044-07-38;+7(495)1230119;119;;KozlovaAJU@altuninvv.local;Отдел 1;Специалист;Ленина 1;120;Altunin Soft;OU=otdel1,OU=Company,DC=altuninvv,DC=local;hhF)yQHsaOq2CV54
AleksandrovaMS;Александрова Мария Саввична;Мария;Александрова;С.;AleksandrovaMS;+7(495)327-28-45;+7(495)1230120;120;;AleksandrovaMS@altuninvv.local;Отдел 1;Специалист;Ленина 1;121;Altunin Soft;OU=otdel1,OU=Company,DC=altuninvv,DC=local;r~IWngJ8HeDGvO(4
LobanovIL;Лобанов Игорь Львович;Игорь;Лобанов;Л.;LobanovIL;+7(495)072-84-20;+7(495)1230121;121;;LobanovIL@altuninvv.local;Отдел 1;Специалист;Ленина 1;122;Altunin Soft;OU=otdel1,OU=Company,DC=altuninvv,DC=local;baJhYYMR2kBe&Lop
EgorovaAE;Егорова Алиса Евгеньевна;Алиса;Егорова;Е.;EgorovaAE;+7(495)558-41-28;+7(495)1230122;122;;EgorovaAE@altuninvv.local;Отдел 1;Специалист;Ленина 1;123;Altunin Soft;OU=otdel1,OU=Company,DC=altuninvv,DC=local;)*Q8ry7zZZ4BHyyr
GolubevaEM;Голубева Ева Марковна;Ева;Голубева;М.;GolubevaEM;+7(495)780-27-23;+7(495)1230123;123;;GolubevaEM@altuninvv.local;Отдел 1;Специалист;Ленина 1;124;Altunin Soft;OU=otdel1,OU=Company,DC=altuninvv,DC=local;)5p)xv&t-ag1Ef0W
MorozovMM;Морозов Максим Маркович;Максим;Морозов;М.;MorozovMM;+7(495)877-68-78;+7(495)1230124;124;;MorozovMM@altuninvv.local;Отдел 1;Специалист;Ленина 1;125;Altunin Soft;OU=otdel1,OU=Company,DC=altuninvv,DC=local;K1=fZ:d-vqzqw~R0
PirogovaZS;Пирогова Злата Семёновна;Злата;Пирогова;С.;PirogovaZS;+7(495)275-63-18;+7(495)1230125;125;;PirogovaZS@altuninvv.local;Отдел 1;Специалист;Ленина 1;126;Altunin Soft;OU=otdel1,OU=Company,DC=altuninvv,DC=local;XRf9VtDm,m7zJm5=
DmitrievIL;Дмитриев Иван Львович;Иван;Дмитриев;Л.;DmitrievIL;+7(495)978-47-81;+7(495)1230126;126;;DmitrievIL@altuninvv.local;Отдел 1;Специалист;Ленина 1;127;Altunin Soft;OU=otdel1,OU=Company,DC=altuninvv,DC=local;:xJt,V!CzGPYdliU
VinogradovaEA;Виноградова Екатерина Александровна;Екатерина;Виноградова;А.;VinogradovaEA;+7(495)880-01-95;+7(495)1230127;127;;VinogradovaEA@altuninvv.local;Отдел 1;Специалист;Ленина 1;128;Altunin Soft;OU=otdel1,OU=Company,DC=altuninvv,DC=local;6Q,H*V-ZtoUtxjT4
KomarovED;Комаров Елисей Давидович;Елисей;Комаров;Д.;KomarovED;+7(495)751-40-40;+7(495)1230128;128;;KomarovED@altuninvv.local;Отдел 1;Специалист;Ленина 1;129;Altunin Soft;OU=otdel1,OU=Company,DC=altuninvv,DC=local;rlPi7ouH!ehtyD,%
KuzminaAD;Кузьмина Анна Данииловна;Анна;Кузьмина;Д.;KuzminaAD;+7(495)069-09-82;+7(495)1230129;129;;KuzminaAD@altuninvv.local;Отдел 1;Специалист;Ленина 1;130;Altunin Soft;OU=otdel1,OU=Company,DC=altuninvv,DC=local;:ENvUqK0B&2mfPzi
TitovaED;Титова Ева Данииловна;Ева;Титова;Д.;TitovaED;+7(495)293-54-00;+7(495)1230130;130;;TitovaED@altuninvv.local;Отдел 1;Специалист;Ленина 1;131;Altunin Soft;OU=otdel1,OU=Company,DC=altuninvv,DC=local;HpX3wo*23qFi3Z:b
MartynovNM;Мартынов Никита Макарович;Никита;Мартынов;М.;MartynovNM;+7(495)425-68-11;+7(495)1230131;131;+7(495)12400005;MartynovNM@altuninvv.local;Отдел 1;Специалист;Ленина 1;132;Altunin Soft;OU=otdel1,OU=Company,DC=altuninvv,DC=local;G5dO.pBud@w3w$&(
LazarevaAR;Лазарева Анастасия Романовна;Анастасия;Лазарева;Р.;LazarevaAR;+7(495)734-51-59;+7(495)1230232;232;;LazarevaAR@altuninvv.local;Отдел 2;Начальник;Ленина 1;133;Altunin Soft;OU=otdel2,OU=Company,DC=altuninvv,DC=local;pDRjs=@aa=Ghpfw1
CHerkasovKD;Черкасов Константин Дмитриевич;Константин;Черкасов;Д.;CHerkasovKD;+7(495)167-78-71;+7(495)1230233;233;;CHerkasovKD@altuninvv.local;Отдел 2;Заместитель начальника;Ленина 1;134;Altunin Soft;OU=otdel2,OU=Company,DC=altuninvv,DC=local;Rk9RpPrEBybddh:T
JUdinMA;Юдин Максим Артёмович;Максим;Юдин;А.;JUdinMA;+7(495)973-35-82;+7(495)1230234;234;;JUdinMA@altuninvv.local;Отдел 2;Специалист;Ленина 1;135;Altunin Soft;OU=otdel2,OU=Company,DC=altuninvv,DC=local;nBWGJOK*!4dZ9uq2
NikulinaVL;Никулина Вероника Леонидовна;Вероника;Никулина;Л.;NikulinaVL;+7(495)209-46-52;+7(495)1230235;235;;NikulinaVL@altuninvv.local;Отдел 2;Специалист;Ленина 1;136;Altunin Soft;OU=otdel2,OU=Company,DC=altuninvv,DC=local;@ZnRp&uxvmOmCm*1
KozlovaDV;Козлова Дарья Васильевна;Дарья;Козлова;В.;KozlovaDV;+7(495)485-64-04;+7(495)1230236;236;;KozlovaDV@altuninvv.local;Отдел 2;Специалист;Ленина 1;137;Altunin Soft;OU=otdel2,OU=Company,DC=altuninvv,DC=local;fCeJaIlCz.reaLx-
SalnikovDM;Сальников Дмитрий Маркович;Дмитрий;Сальников;М.;SalnikovDM;+7(495)099-67-65;+7(495)1230237;237;;SalnikovDM@altuninvv.local;Отдел 2;Специалист;Ленина 1;138;Altunin Soft;OU=otdel2,OU=Company,DC=altuninvv,DC=local;DuHsNk=2bLfpF4T5
AndreevaMV;Андреева Майя Викторовна;Майя;Андреева;В.;AndreevaMV;+7(495)336-07-88;+7(495)1230238;238;;AndreevaMV@altuninvv.local;Отдел 2;Специалист;Ленина 1;139;Altunin Soft;OU=otdel2,OU=Company,DC=altuninvv,DC=local;ZckbPzbxN+GG1V@L
PonomarevaKA;Пономарева Кира Артёмовна;Кира;Пономарева;А.;PonomarevaKA;+7(495)117-47-33;+7(495)1230239;239;;PonomarevaKA@altuninvv.local;Отдел 2;Специалист;Ленина 1;140;Altunin Soft;OU=otdel2,OU=Company,DC=altuninvv,DC=local;RL9sW!xFFC969+Kg
GusevaNK;Гусева Нина Кирилловна;Нина;Гусева;К.;GusevaNK;+7(495)797-00-78;+7(495)1230240;240;;GusevaNK@altuninvv.local;Отдел 2;Специалист;Ленина 1;141;Altunin Soft;OU=otdel2,OU=Company,DC=altuninvv,DC=local;MR=2ugTTqw-=EL8n
KalininaDA;Калинина Диана Александровна;Диана;Калинина;А.;KalininaDA;+7(495)504-02-42;+7(495)1230241;241;;KalininaDA@altuninvv.local;Отдел 2;Специалист;Ленина 1;142;Altunin Soft;OU=otdel2,OU=Company,DC=altuninvv,DC=local;qmFbg,:S7oXcqg*e
MinaevaUM;Минаева Ульяна Максимовна;Ульяна;Минаева;М.;MinaevaUM;+7(495)085-61-42;+7(495)1230242;242;;MinaevaUM@altuninvv.local;Отдел 2;Специалист;Ленина 1;143;Altunin Soft;OU=otdel2,OU=Company,DC=altuninvv,DC=local;IFJ3ojq6C=viAJfW
KiselevFJA;Киселев Фёдор Ярославович;Фёдор;Киселев;Я.;KiselevFJA;+7(495)155-68-82;+7(495)1230243;243;;KiselevFJA@altuninvv.local;Отдел 2;Специалист;Ленина 1;144;Altunin Soft;OU=otdel2,OU=Company,DC=altuninvv,DC=local;lm@Oaw$4kI5i2CDN
PanteleevDN;Пантелеев Денис Никитич;Денис;Пантелеев;Н.;PanteleevDN;+7(495)063-80-59;+7(495)1230244;244;;PanteleevDN@altuninvv.local;Отдел 2;Специалист;Ленина 1;145;Altunin Soft;OU=otdel2,OU=Company,DC=altuninvv,DC=local;9Oj15qwzAt,oHXVj
SergeevaZS;Сергеева Зоя Семёновна;Зоя;Сергеева;С.;SergeevaZS;+7(495)821-51-09;+7(495)1230245;245;;SergeevaZS@altuninvv.local;Отдел 2;Специалист;Ленина 1;146;Altunin Soft;OU=otdel2,OU=Company,DC=altuninvv,DC=local;3uR*gi:mf8MJXkG(
SergeevJAE;Сергеев Яромир Егорович;Яромир;Сергеев;Е.;SergeevJAE;+7(495)253-34-66;+7(495)1230246;246;;SergeevJAE@altuninvv.local;Отдел 2;Специалист;Ленина 1;147;Altunin Soft;OU=otdel2,OU=Company,DC=altuninvv,DC=local;E4K)nABYftoP3GGB
PlotnikovaTS;Плотникова Таисия Станиславовна;Таисия;Плотникова;С.;PlotnikovaTS;+7(495)447-20-07;+7(495)1230247;247;;PlotnikovaTS@altuninvv.local;Отдел 2;Специалист;Ленина 1;148;Altunin Soft;OU=otdel2,OU=Company,DC=altuninvv,DC=local;xKx+!OXpPl,YbSuI
RubcovIB;Рубцов Илья Борисович;Илья;Рубцов;Б.;RubcovIB;+7(495)269-41-42;+7(495)1230248;248;;RubcovIB@altuninvv.local;Отдел 2;Специалист;Ленина 1;149;Altunin Soft;OU=otdel2,OU=Company,DC=altuninvv,DC=local;M&,6o%xlJ5-Ox)EZ
ZorinJAI;Зорин Ярослав Иванович;Ярослав;Зорин;И.;ZorinJAI;+7(495)010-59-57;+7(495)1230249;249;;ZorinJAI@altuninvv.local;Отдел 2;Специалист;Ленина 1;150;Altunin Soft;OU=otdel2,OU=Company,DC=altuninvv,DC=local;$YR=~5JM.VafZ*S!
IvanovaDA;Иванова Дарья Артуровна;Дарья;Иванова;А.;IvanovaDA;+7(495)836-30-60;+7(495)1230250;250;;IvanovaDA@altuninvv.local;Отдел 2;Специалист;Ленина 1;151;Altunin Soft;OU=otdel2,OU=Company,DC=altuninvv,DC=local;YfoKbqemW,Vv@8U=
IvanovaVT;Иванова Вероника Тимофеевна;Вероника;Иванова;Т.;IvanovaVT;+7(495)159-10-91;+7(495)1230251;251;;IvanovaVT@altuninvv.local;Отдел 2;Специалист;Ленина 1;152;Altunin Soft;OU=otdel2,OU=Company,DC=altuninvv,DC=local;Q2rdrlj,lK~$efiX
RomanovaSD;Романова София Данииловна;София;Романова;Д.;RomanovaSD;+7(495)107-26-60;+7(495)1230252;252;;RomanovaSD@altuninvv.local;Отдел 2;Специалист;Ленина 1;153;Altunin Soft;OU=otdel2,OU=Company,DC=altuninvv,DC=local;Z8UAHA3=iQAlh*MP
EgorovPS;Егоров Павел Савельевич;Павел;Егоров;С.;EgorovPS;+7(495)043-47-70;+7(495)1230253;253;+7(495)12400006;EgorovPS@altuninvv.local;Отдел 2;Специалист;Ленина 1;154;Altunin Soft;OU=otdel2,OU=Company,DC=altuninvv,DC=local;BACS(j948S!yMyJi
MerkulovaAD;Меркулова Алёна Дмитриевна;Алёна;Меркулова;Д.;MerkulovaAD;+7(495)968-37-89;+7(495)1230354;354;;MerkulovaAD@altuninvv.local;Отдел 3;Начальник;Горького 1;155;Altunin Soft;OU=otdel3,OU=Company,DC=altuninvv,DC=local;tjmUja6d+M@0L(7f
KorolevPE;Королев Павел Егорович;Павел;Королев;Е.;KorolevPE;+7(495)215-09-90;+7(495)1230355;355;;KorolevPE@altuninvv.local;Отдел 3;Заместитель начальника;Горького 1;156;Altunin Soft;OU=otdel3,OU=Company,DC=altuninvv,DC=local;Z.k!DoHie(%)BRm%
MihajlovAK;Михайлов Артём Константинович;Артём;Михайлов;К.;MihajlovAK;+7(495)282-48-78;+7(495)1230356;356;;MihajlovAK@altuninvv.local;Отдел 3;Специалист;Горького 1;157;Altunin Soft;OU=otdel3,OU=Company,DC=altuninvv,DC=local;mPKGv&Qs4UuJSCVh
MedvedevSM;Медведев Сергей Максимович;Сергей;Медведев;М.;MedvedevSM;+7(495)888-18-07;+7(495)1230357;357;;MedvedevSM@altuninvv.local;Отдел 3;Специалист;Горького 1;158;Altunin Soft;OU=otdel3,OU=Company,DC=altuninvv,DC=local;H02PMhmOXg.PJMZO
AleshinDD;Алешин Даниил Дмитриевич;Даниил;Алешин;Д.;AleshinDD;+7(495)296-30-12;+7(495)1230358;358;;AleshinDD@altuninvv.local;Отдел 3;Специалист;Горького 1;159;Altunin Soft;OU=otdel3,OU=Company,DC=altuninvv,DC=local;xDuvlxMmCZvEI!5S
IvanovAK;Иванов Александр Кириллович;Александр;Иванов;К.;IvanovAK;+7(495)976-32-56;+7(495)1230359;359;;IvanovAK@altuninvv.local;Отдел 3;Специалист;Горького 1;160;Altunin Soft;OU=otdel3,OU=Company,DC=altuninvv,DC=local;Q1RI6B$*0)oo=BAN
ZHuravlevGS;Журавлев Георгий Сергеевич;Георгий;Журавлев;С.;ZHuravlevGS;+7(495)388-88-48;+7(495)1230360;360;;ZHuravlevGS@altuninvv.local;Отдел 3;Специалист;Горького 1;161;Altunin Soft;OU=otdel3,OU=Company,DC=altuninvv,DC=local;WSL46h:c7T0-eRI~
FetisovaAD;Фетисова Анастасия Дмитриевна;Анастасия;Фетисова;Д.;FetisovaAD;+7(495)467-09-41;+7(495)1230361;361;;FetisovaAD@altuninvv.local;Отдел 3;Специалист;Горького 1;162;Altunin Soft;OU=otdel3,OU=Company,DC=altuninvv,DC=local;.wtb9On=kXZyegoi
VoroncovaOV;Воронцова Ольга Валерьевна;Ольга;Воронцова;В.;VoroncovaOV;+7(495)998-62-04;+7(495)1230362;362;;VoroncovaOV@altuninvv.local;Отдел 3;Специалист;Горького 1;163;Altunin Soft;OU=otdel3,OU=Company,DC=altuninvv,DC=local;$8q*QsDS6oP4x$D+
RjabininaKG;Рябинина Кира Глебовна;Кира;Рябинина;Г.;RjabininaKG;+7(495)461-20-76;+7(495)1230363;363;;RjabininaKG@altuninvv.local;Отдел 3;Специалист;Горького 1;164;Altunin Soft;OU=otdel3,OU=Company,DC=altuninvv,DC=local;t!9y,hcSiIn8r+nW
MelnikovaDI;Мельникова Дарина Ивановна;Дарина;Мельникова;И.;MelnikovaDI;+7(495)502-99-98;+7(495)1230364;364;;MelnikovaDI@altuninvv.local;Отдел 3;Специалист;Горького 1;165;Altunin Soft;OU=otdel3,OU=Company,DC=altuninvv,DC=local;lFLMHRFq5ipXMYdV
BychkovaJAA;Бычкова Яна Александровна;Яна;Бычкова;А.;BychkovaJAA;+7(495)212-93-83;+7(495)1230365;365;;BychkovaJAA@altuninvv.local;Отдел 3;Специалист;Горького 1;166;Altunin Soft;OU=otdel3,OU=Company,DC=altuninvv,DC=local;aTsCq3TcWsYm@oJj
BerezinaID;Березина Ирина Данииловна;Ирина;Березина;Д.;BerezinaID;+7(495)324-28-92;+7(495)1230366;366;;BerezinaID@altuninvv.local;Отдел 3;Специалист;Горького 1;167;Altunin Soft;OU=otdel3,OU=Company,DC=altuninvv,DC=local;u%%ksBzSbnMI40@o
LebedevVM;Лебедев Владислав Марсельевич;Владислав;Лебедев;М.;LebedevVM;+7(495)283-86-35;+7(495)1230367;367;;LebedevVM@altuninvv.local;Отдел 3;Специалист;Горького 1;168;Altunin Soft;OU=otdel3,OU=Company,DC=altuninvv,DC=local;Y8~:BLC&aJABl.14
AleksandrovaOE;Александрова Ольга Егоровна;Ольга;Александрова;Е.;AleksandrovaOE;+7(495)399-29-33;+7(495)1230368;368;;AleksandrovaOE@altuninvv.local;Отдел 3;Специалист;Горького 1;169;Altunin Soft;OU=otdel3,OU=Company,DC=altuninvv,DC=local;z4bYM5opB-QFwxz0
RomanovPA;Романов Павел Арсентьевич;Павел;Романов;А.;RomanovPA;+7(495)943-64-98;+7(495)1230369;369;;RomanovPA@altuninvv.local;Отдел 3;Специалист;Горького 1;170;Altunin Soft;OU=otdel3,OU=Company,DC=altuninvv,DC=local;MulIWs41IC8pLS.&
MihajlovAM;Михайлов Артур Михайлович;Артур;Михайлов;М.;MihajlovAM;+7(495)462-20-94;+7(495)1230370;370;;MihajlovAM@altuninvv.local;Отдел 3;Специалист;Горького 1;171;Altunin Soft;OU=otdel3,OU=Company,DC=altuninvv,DC=local;eN*4O=E0b9iFl=H2
FedorovGL;Федоров Григорий Львович;Григорий;Федоров;Л.;FedorovGL;+7(495)685-50-93;+7(495)1230371;371;;FedorovGL@altuninvv.local;Отдел 3;Специалист;Горького 1;172;Altunin Soft;OU=otdel3,OU=Company,DC=altuninvv,DC=local;5qkZx24LYgWzaRrO
NikonovaAG;Никонова Анастасия Георгиевна;Анастасия;Никонова;Г.;NikonovaAG;+7(495)523-98-72;+7(495)1230372;372;;NikonovaAG@altuninvv.local;Отдел 3;Специалист;Горького 1;173;Altunin Soft;OU=otdel3,OU=Company,DC=altuninvv,DC=local;zTdW$rX+h.Vpgu9(
CHerepanovRJA;Черепанов Роман Ярославович;Роман;Черепанов;Я.;CHerepanovRJA;+7(495)006-11-86;+7(495)1230373;373;;CHerepanovRJA@altuninvv.local;Отдел 3;Специалист;Горького 1;174;Altunin Soft;OU=otdel3,OU=Company,DC=altuninvv,DC=local;R=XF1G2pWmb$ftuv
GrigorevaVV;Григорьева Варвара Викторовна;Варвара;Григорьева;В.;GrigorevaVV;+7(495)020-31-38;+7(495)1230374;374;;GrigorevaVV@altuninvv.local;Отдел 3;Специалист;Горького 1;175;Altunin Soft;OU=otdel3,OU=Company,DC=altuninvv,DC=local;U4rQn.U~qqG79m)B
SmirnovRA;Смирнов Роман Александрович;Роман;Смирнов;А.;SmirnovRA;+7(495)679-32-55;+7(495)1230375;375;+7(495)12400007;SmirnovRA@altuninvv.local;Отдел 3;Специалист;Горького 1;176;Altunin Soft;OU=otdel3,OU=Company,DC=altuninvv,DC=local;n*f*2uLcI!vdF2&b
KoshelevaMM;Кошелева Мария Михайловна;Мария;Кошелева;М.;KoshelevaMM;+7(495)822-13-87;+7(495)1230476;476;;KoshelevaMM@altuninvv.local;Отдел 4;Начальник;Пушкина 1;177;Altunin Soft;OU=otdel4,OU=Company,DC=altuninvv,DC=local;lo8L20NcLvZNoMFA
SemenovaVA;Семенова Василиса Алексеевна;Василиса;Семенова;А.;SemenovaVA;+7(495)240-42-78;+7(495)1230477;477;;SemenovaVA@altuninvv.local;Отдел 4;Заместитель начальника;Пушкина 1;178;Altunin Soft;OU=otdel4,OU=Company,DC=altuninvv,DC=local;,p!~kCMjnaPV!KFA
AlekseevKS;Алексеев Константин Сергеевич;Константин;Алексеев;С.;AlekseevKS;+7(495)225-49-08;+7(495)1230478;478;;AlekseevKS@altuninvv.local;Отдел 4;Специалист;Пушкина 1;179;Altunin Soft;OU=otdel4,OU=Company,DC=altuninvv,DC=local;qX.wOLXygKjTOC=,
CHistjakovMT;Чистяков Михаил Тимофеевич;Михаил;Чистяков;Т.;CHistjakovMT;+7(495)583-74-88;+7(495)1230479;479;;CHistjakovMT@altuninvv.local;Отдел 4;Специалист;Пушкина 1;180;Altunin Soft;OU=otdel4,OU=Company,DC=altuninvv,DC=local;cQLWV0xiMrEG@hF)
FrolovLS;Фролов Леонид Сергеевич;Леонид;Фролов;С.;FrolovLS;+7(495)049-85-59;+7(495)1230480;480;;FrolovLS@altuninvv.local;Отдел 4;Специалист;Пушкина 1;181;Altunin Soft;OU=otdel4,OU=Company,DC=altuninvv,DC=local;3bru@jSmMe747H~~
KiselevMM;Киселев Михаил Михайлович;Михаил;Киселев;М.;KiselevMM;+7(495)008-00-04;+7(495)1230481;481;;KiselevMM@altuninvv.local;Отдел 4;Специалист;Пушкина 1;182;Altunin Soft;OU=otdel4,OU=Company,DC=altuninvv,DC=local;C2V!Tp~iw+wNPZD+
SpiridonovaVV;Спиридонова Валерия Вадимовна;Валерия;Спиридонова;В.;SpiridonovaVV;+7(495)355-19-42;+7(495)1230482;482;;SpiridonovaVV@altuninvv.local;Отдел 4;Специалист;Пушкина 1;183;Altunin Soft;OU=otdel4,OU=Company,DC=altuninvv,DC=local;t5x=FkR*99w,WB6+
SmirnovaEHE;Смирнова Эмилия Егоровна;Эмилия;Смирнова;Е.;SmirnovaEHE;+7(495)968-35-55;+7(495)1230483;483;;SmirnovaEHE@altuninvv.local;Отдел 4;Специалист;Пушкина 1;184;Altunin Soft;OU=otdel4,OU=Company,DC=altuninvv,DC=local;cl%i8zC+tZz$oV8v
SitnikovaVD;Ситникова Василиса Дмитриевна;Василиса;Ситникова;Д.;SitnikovaVD;+7(495)824-95-37;+7(495)1230484;484;;SitnikovaVD@altuninvv.local;Отдел 4;Специалист;Пушкина 1;185;Altunin Soft;OU=otdel4,OU=Company,DC=altuninvv,DC=local;kG7(sfww9zJHKc06
FedorovMM;Федоров Максим Матвеевич;Максим;Федоров;М.;FedorovMM;+7(495)204-85-33;+7(495)1230485;485;;FedorovMM@altuninvv.local;Отдел 4;Специалист;Пушкина 1;186;Altunin Soft;OU=otdel4,OU=Company,DC=altuninvv,DC=local;y2F9(=4tp@aQIsq6
PetrovskajaAE;Петровская Арина Евгеньевна;Арина;Петровская;Е.;PetrovskajaAE;+7(495)990-58-46;+7(495)1230486;486;;PetrovskajaAE@altuninvv.local;Отдел 4;Специалист;Пушкина 1;187;Altunin Soft;OU=otdel4,OU=Company,DC=altuninvv,DC=local;h0G)8DTfMlbj5ut$
BogomolovSI;Богомолов Святослав Ильич;Святослав;Богомолов;И.;BogomolovSI;+7(495)776-76-47;+7(495)1230487;487;;BogomolovSI@altuninvv.local;Отдел 4;Специалист;Пушкина 1;188;Altunin Soft;OU=otdel4,OU=Company,DC=altuninvv,DC=local;Zs(4s=XWcmU:XLq(
